Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1991,1991,1991,0,0,2,Export,332,Haiti,HTI,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,187637536,,,0
H0,1991,1991,1991,0,0,2,Export,332,Haiti,HTI,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,567,,,0
H0,1991,1991,1991,0,0,2,Export,332,Haiti,HTI,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,41798,,,0
H0,1991,1991,1991,0,0,2,Export,332,Haiti,HTI,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1385,,,0
H0,1991,1991,1991,0,0,2,Export,332,Haiti,HTI,44,Bahamas,BHS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,5229,,,0
H0,1991,1991,1991,0,0,2,Export,332,Haiti,HTI,52,Barbados,BRB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,10050,,,0
H0,1991,1991,1991,0,0,2,Export,332,Haiti,HTI,58,Belgium-Luxembourg,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4574128,,,0
H0,1991,1991,1991,0,0,2,Export,332,Haiti,HTI,76,Brazil,BRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,19843,,,0
H0,1991,1991,1991,0,0,2,Export,332,Haiti,HTI,124,Canada,CAN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2734433,,,0
H0,1991,1991,1991,0,0,2,Export,332,Haiti,HTI,136,Cayman Isds,CYM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3152,,,0
H0,1991,1991,1991,0,0,2,Export,332,Haiti,HTI,156,China,CHN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,32592,,,0
H0,1991,1991,1991,0,0,2,Export,332,Haiti,HTI,170,Colombia,COL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,41127,,,0
H0,1991,1991,1991,0,0,2,Export,332,Haiti,HTI,208,Denmark,DNK,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,152826,,,0
