Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1994,1994,1994,0,0,1,Import,203,Czechia,CZE,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,14950940672,,,0
H0,1994,1994,1994,0,0,1,Import,203,Czechia,CZE,4,Afghanistan,AFG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,14654,,,0
H0,1994,1994,1994,0,0,1,Import,203,Czechia,CZE,8,Albania,ALB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,97272,,,0
H0,1994,1994,1994,0,0,1,Import,203,Czechia,CZE,12,Algeria,DZA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,46264,,,0
H0,1994,1994,1994,0,0,1,Import,203,Czechia,CZE,20,Andorra,AND,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,45287,,,0
H0,1994,1994,1994,0,0,1,Import,203,Czechia,CZE,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,204743,,,0
H0,1994,1994,1994,0,0,1,Import,203,Czechia,CZE,31,Azerbaijan,AZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1217024,,,0
H0,1994,1994,1994,0,0,1,Import,203,Czechia,CZE,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,20161852,,,0
H0,1994,1994,1994,0,0,1,Import,203,Czechia,CZE,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,19385208,,,0
H0,1994,1994,1994,0,0,1,Import,203,Czechia,CZE,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1207000576,,,0
H0,1994,1994,1994,0,0,1,Import,203,Czechia,CZE,44,Bahamas,BHS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,13747,,,0
H0,1994,1994,1994,0,0,1,Import,203,Czechia,CZE,48,Bahrain,BHR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,5164,,,0
H0,1994,1994,1994,0,0,1,Import,203,Czechia,CZE,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,712790,,,0
H0,1994,1994,1994,0,0,1,Import,203,Czechia,CZE,51,Armenia,ARM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,101570,,,0
H0,1994,1994,1994,0,0,1,Import,203,Czechia,CZE,52,Barbados,BRB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1081,,,0
H0,1994,1994,1994,0,0,1,Import,203,Czechia,CZE,58,Belgium-Luxembourg,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,314701152,,,0
