Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1996,1996,1996,0,0,1,Import,120,Cameroon,CMR,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1204333696,,,0
H0,1996,1996,1996,0,0,1,Import,120,Cameroon,CMR,4,Afghanistan,AFG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,20561,,,0
H0,1996,1996,1996,0,0,1,Import,120,Cameroon,CMR,8,Albania,ALB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2032,,,0
H0,1996,1996,1996,0,0,1,Import,120,Cameroon,CMR,24,Angola,AGO,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,302403,,,0
H0,1996,1996,1996,0,0,1,Import,120,Cameroon,CMR,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,628577,,,0
H0,1996,1996,1996,0,0,1,Import,120,Cameroon,CMR,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1022090,,,0
H0,1996,1996,1996,0,0,1,Import,120,Cameroon,CMR,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2591188,,,0
H0,1996,1996,1996,0,0,1,Import,120,Cameroon,CMR,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1589860,,,0
H0,1996,1996,1996,0,0,1,Import,120,Cameroon,CMR,58,Belgium-Luxembourg,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,57925704,,,0
H0,1996,1996,1996,0,0,1,Import,120,Cameroon,CMR,76,Brazil,BRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,11823613,,,0
H0,1996,1996,1996,0,0,1,Import,120,Cameroon,CMR,100,Bulgaria,BGR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,30261,,,0
H0,1996,1996,1996,0,0,1,Import,120,Cameroon,CMR,104,Myanmar,MMR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,6223,,,0
H0,1996,1996,1996,0,0,1,Import,120,Cameroon,CMR,124,Canada,CAN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,10373721,,,0
H0,1996,1996,1996,0,0,1,Import,120,Cameroon,CMR,140,Central African Rep.,CAF,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,60669,,,0
H0,1996,1996,1996,0,0,1,Import,120,Cameroon,CMR,144,Sri Lanka,LKA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,93054,,,0
H0,1996,1996,1996,0,0,1,Import,120,Cameroon,CMR,148,Chad,TCD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,43584,,,0
H0,1996,1996,1996,0,0,1,Import,120,Cameroon,CMR,152,Chile,CHL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,894439,,,0
H0,1996,1996,1996,0,0,1,Import,120,Cameroon,CMR,156,China,CHN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,14922461,,,0
H0,1996,1996,1996,0,0,1,Import,120,Cameroon,CMR,170,Colombia,COL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,271025,,,0
H0,1996,1996,1996,0,0,1,Import,120,Cameroon,CMR,174,Comoros,COM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1194,,,0
H0,1996,1996,1996,0,0,1,Import,120,Cameroon,CMR,178,Congo,COG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1341297,,,0
H0,1996,1996,1996,0,0,1,Import,120,Cameroon,CMR,188,Costa Rica,CRI,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2457325,,,0
H0,1996,1996,1996,0,0,1,Import,120,Cameroon,CMR,196,Cyprus,CYP,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,29855,,,0
