Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,1999,1999,1999,0,0,2,Export,64,Bhutan,BTN,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,115950052,,,0
H1,1999,1999,1999,0,0,2,Export,64,Bhutan,BTN,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2950,,,0
H1,1999,1999,1999,0,0,2,Export,64,Bhutan,BTN,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2905,,,0
H1,1999,1999,1999,0,0,2,Export,64,Bhutan,BTN,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4868708,,,0
H1,1999,1999,1999,0,0,2,Export,64,Bhutan,BTN,144,Sri Lanka,LKA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2941,,,0
H1,1999,1999,1999,0,0,2,Export,64,Bhutan,BTN,251,France,FRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,12458,,,0
H1,1999,1999,1999,0,0,2,Export,64,Bhutan,BTN,276,Germany,DEU,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4314,,,0
H1,1999,1999,1999,0,0,2,Export,64,Bhutan,BTN,392,Japan,JPN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,107649,,,0
H1,1999,1999,1999,0,0,2,Export,64,Bhutan,BTN,490,"Other Asia, nes",,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,55374,,,0
H1,1999,1999,1999,0,0,2,Export,64,Bhutan,BTN,524,Nepal,NPL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,596070,,,0
H1,1999,1999,1999,0,0,2,Export,64,Bhutan,BTN,528,Netherlands,NLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,67106,,,0
H1,1999,1999,1999,0,0,2,Export,64,Bhutan,BTN,699,India,IND,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,109509078,,,0
H1,1999,1999,1999,0,0,2,Export,64,Bhutan,BTN,702,Singapore,SGP,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,5386,,,0
H1,1999,1999,1999,0,0,2,Export,64,Bhutan,BTN,757,Switzerland,CHE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,19543,,,0
H1,1999,1999,1999,0,0,2,Export,64,Bhutan,BTN,764,Thailand,THA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,47821,,,0
H1,1999,1999,1999,0,0,2,Export,64,Bhutan,BTN,826,United Kingdom,GBR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,36332,,,0
H1,1999,1999,1999,0,0,2,Export,64,Bhutan,BTN,842,USA,USA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,602530,,,0
H1,1999,1999,1999,0,0,2,Export,64,Bhutan,BTN,899,"Areas, nes",,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,8887,,,0
