Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,0,0,1,Import,795,Turkmenistan,TKM,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1785540350,,,0
H1,2000,2000,2000,0,0,1,Import,795,Turkmenistan,TKM,4,Afghanistan,AFG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1118851,,,0
H1,2000,2000,2000,0,0,1,Import,795,Turkmenistan,TKM,31,Azerbaijan,AZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,36621505,,,0
H1,2000,2000,2000,0,0,1,Import,795,Turkmenistan,TKM,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,18160,,,0
H1,2000,2000,2000,0,0,1,Import,795,Turkmenistan,TKM,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,54468,,,0
H1,2000,2000,2000,0,0,1,Import,795,Turkmenistan,TKM,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,9696355,,,0
H1,2000,2000,2000,0,0,1,Import,795,Turkmenistan,TKM,44,Bahamas,BHS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,187801,,,0
H1,2000,2000,2000,0,0,1,Import,795,Turkmenistan,TKM,51,Armenia,ARM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,19782587,,,0
H1,2000,2000,2000,0,0,1,Import,795,Turkmenistan,TKM,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1605180,,,0
H1,2000,2000,2000,0,0,1,Import,795,Turkmenistan,TKM,86,Br. Indian Ocean Terr.,IOT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,10262,,,0
H1,2000,2000,2000,0,0,1,Import,795,Turkmenistan,TKM,92,Br. Virgin Isds,VGB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,5759611,,,0
H1,2000,2000,2000,0,0,1,Import,795,Turkmenistan,TKM,100,Bulgaria,BGR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3537750,,,0
H1,2000,2000,2000,0,0,1,Import,795,Turkmenistan,TKM,112,Belarus,BLR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,53475756,,,0
H1,2000,2000,2000,0,0,1,Import,795,Turkmenistan,TKM,124,Canada,CAN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,295011,,,0
H1,2000,2000,2000,0,0,1,Import,795,Turkmenistan,TKM,144,Sri Lanka,LKA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,85404,,,0
H1,2000,2000,2000,0,0,1,Import,795,Turkmenistan,TKM,156,China,CHN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,16427085,,,0
H1,2000,2000,2000,0,0,1,Import,795,Turkmenistan,TKM,191,Croatia,HRV,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1888,,,0
H1,2000,2000,2000,0,0,1,Import,795,Turkmenistan,TKM,196,Cyprus,CYP,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,388837,,,0
H1,2000,2000,2000,0,0,1,Import,795,Turkmenistan,TKM,203,Czechia,CZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,17688366,,,0
H1,2000,2000,2000,0,0,1,Import,795,Turkmenistan,TKM,208,Denmark,DNK,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,689229,,,0
H1,2000,2000,2000,0,0,1,Import,795,Turkmenistan,TKM,233,Estonia,EST,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2168398,,,0
H1,2000,2000,2000,0,0,1,Import,795,Turkmenistan,TKM,246,Finland,FIN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1173543,,,0
