Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2002,2002,2002,0,0,1,Import,266,Gabon,GAB,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,744375692,,,0
H1,2002,2002,2002,0,0,1,Import,266,Gabon,GAB,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,12406770,,,0
H1,2002,2002,2002,0,0,1,Import,266,Gabon,GAB,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,37093434,,,0
H1,2002,2002,2002,0,0,1,Import,266,Gabon,GAB,208,Denmark,DNK,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4657899,,,0
H1,2002,2002,2002,0,0,1,Import,266,Gabon,GAB,233,Estonia,EST,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,900,,,0
H1,2002,2002,2002,0,0,1,Import,266,Gabon,GAB,246,Finland,FIN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3471863,,,0
H1,2002,2002,2002,0,0,1,Import,266,Gabon,GAB,251,France,FRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,443321068,,,0
H1,2002,2002,2002,0,0,1,Import,266,Gabon,GAB,276,Germany,DEU,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,31291439,,,0
H1,2002,2002,2002,0,0,1,Import,266,Gabon,GAB,300,Greece,GRC,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,7048983,,,0
H1,2002,2002,2002,0,0,1,Import,266,Gabon,GAB,352,Iceland,ISL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,460100,,,0
H1,2002,2002,2002,0,0,1,Import,266,Gabon,GAB,372,Ireland,IRL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4177885,,,0
H1,2002,2002,2002,0,0,1,Import,266,Gabon,GAB,381,Italy,ITA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,34078567,,,0
H1,2002,2002,2002,0,0,1,Import,266,Gabon,GAB,470,Malta,MLT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,91,,,0
H1,2002,2002,2002,0,0,1,Import,266,Gabon,GAB,528,Netherlands,NLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,44726119,,,0
H1,2002,2002,2002,0,0,1,Import,266,Gabon,GAB,579,Norway,NOR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,33840292,,,0
H1,2002,2002,2002,0,0,1,Import,266,Gabon,GAB,620,Portugal,PRT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3824574,,,0
H1,2002,2002,2002,0,0,1,Import,266,Gabon,GAB,643,Russian Federation,RUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,879207,,,0
H1,2002,2002,2002,0,0,1,Import,266,Gabon,GAB,724,Spain,ESP,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,34134143,,,0
H1,2002,2002,2002,0,0,1,Import,266,Gabon,GAB,752,Sweden,SWE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4771879,,,0
H1,2002,2002,2002,0,0,1,Import,266,Gabon,GAB,757,Switzerland,CHE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,12114456,,,0
H1,2002,2002,2002,0,0,1,Import,266,Gabon,GAB,792,Turkey,TUR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2166978,,,0
H1,2002,2002,2002,0,0,1,Import,266,Gabon,GAB,826,United Kingdom,GBR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,29909046,,,0
