Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1966843510,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,8,Albania,ALB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4486,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,20,Andorra,AND,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,70707,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,540624333,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,11366704,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4649139,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,341943,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,11373239,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,60,Bermuda,BMU,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,22230,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,68,Bolivia (Plurinational State of),BOL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,553953,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,76,Brazil,BRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,389602153,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,84,Belize,BLZ,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,487,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,86,Br. Indian Ocean Terr.,IOT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,12656,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,92,Br. Virgin Isds,VGB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,54526,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,100,Bulgaria,BGR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3376121,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,104,Myanmar,MMR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,88330,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,112,Belarus,BLR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,65959,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,116,Cambodia,KHM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4518,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,124,Canada,CAN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,11211367,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,144,Sri Lanka,LKA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,659590,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,152,Chile,CHL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,40071647,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,156,China,CHN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,75294293,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,170,Colombia,COL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2803032,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,188,Costa Rica,CRI,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,627265,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,191,Croatia,HRV,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,15245,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,192,Cuba,CUB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,7190057,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,196,Cyprus,CYP,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,49601,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,203,Czechia,CZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,586790,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,208,Denmark,DNK,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,12472186,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,212,Dominica,DMA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2267,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,214,Dominican Rep.,DOM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,50749,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,218,Ecuador,ECU,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2218334,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,222,El Salvador,SLV,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,18508,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,233,Estonia,EST,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,34099,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,246,Finland,FIN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3905193,,,0
H2,2002,2002,2002,0,0,1,Import,858,Uruguay,URY,251,France,FRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,65911765,,,0
