Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2003,2003,2003,0,0,2,Export,192,Cuba,CUB,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1676913024,,,0
H2,2003,2003,2003,0,0,2,Export,192,Cuba,CUB,8,Albania,ALB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,34583,,,0
H2,2003,2003,2003,0,0,2,Export,192,Cuba,CUB,12,Algeria,DZA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,6099584,,,0
H2,2003,2003,2003,0,0,2,Export,192,Cuba,CUB,20,Andorra,AND,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1566645,,,0
H2,2003,2003,2003,0,0,2,Export,192,Cuba,CUB,24,Angola,AGO,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,80461,,,0
H2,2003,2003,2003,0,0,2,Export,192,Cuba,CUB,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,857917,,,0
H2,2003,2003,2003,0,0,2,Export,192,Cuba,CUB,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,945338,,,0
H2,2003,2003,2003,0,0,2,Export,192,Cuba,CUB,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,892839,,,0
H2,2003,2003,2003,0,0,2,Export,192,Cuba,CUB,44,Bahamas,BHS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,5230013,,,0
H2,2003,2003,2003,0,0,2,Export,192,Cuba,CUB,52,Barbados,BRB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,263494,,,0
H2,2003,2003,2003,0,0,2,Export,192,Cuba,CUB,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,9619638,,,0
H2,2003,2003,2003,0,0,2,Export,192,Cuba,CUB,60,Bermuda,BMU,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,756239,,,0
H2,2003,2003,2003,0,0,2,Export,192,Cuba,CUB,68,Bolivia (Plurinational State of),BOL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,341767,,,0
H2,2003,2003,2003,0,0,2,Export,192,Cuba,CUB,76,Brazil,BRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,20253058,,,0
H2,2003,2003,2003,0,0,2,Export,192,Cuba,CUB,84,Belize,BLZ,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1036774,,,0
H2,2003,2003,2003,0,0,2,Export,192,Cuba,CUB,92,Br. Virgin Isds,VGB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,13023,,,0
