Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2005,2005,2005,0,0,1,Import,214,Dominican Rep.,DOM,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,6804051605,,,0
H1,2005,2005,2005,0,0,1,Import,214,Dominican Rep.,DOM,4,Afghanistan,AFG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,233861,,,0
H1,2005,2005,2005,0,0,1,Import,214,Dominican Rep.,DOM,8,Albania,ALB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,150426,,,0
H1,2005,2005,2005,0,0,1,Import,214,Dominican Rep.,DOM,12,Algeria,DZA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,19845,,,0
H1,2005,2005,2005,0,0,1,Import,214,Dominican Rep.,DOM,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,85,,,0
H1,2005,2005,2005,0,0,1,Import,214,Dominican Rep.,DOM,31,Azerbaijan,AZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,399002,,,0
H1,2005,2005,2005,0,0,1,Import,214,Dominican Rep.,DOM,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,88505712,,,0
H1,2005,2005,2005,0,0,1,Import,214,Dominican Rep.,DOM,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1576981,,,0
H1,2005,2005,2005,0,0,1,Import,214,Dominican Rep.,DOM,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2852208,,,0
H1,2005,2005,2005,0,0,1,Import,214,Dominican Rep.,DOM,44,Bahamas,BHS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,11842,,,0
