Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2005,2005,2005,0,0,1,Import,624,Guinea-Bissau,GNB,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,111684811,,,0
H1,2005,2005,2005,0,0,1,Import,624,Guinea-Bissau,GNB,132,Cabo Verde,CPV,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,37715,,,0
H1,2005,2005,2005,0,0,1,Import,624,Guinea-Bissau,GNB,156,China,CHN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2665848,,,0
H1,2005,2005,2005,0,0,1,Import,624,Guinea-Bissau,GNB,251,France,FRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3613920,,,0
H1,2005,2005,2005,0,0,1,Import,624,Guinea-Bissau,GNB,270,Gambia,GMB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1752337,,,0
H1,2005,2005,2005,0,0,1,Import,624,Guinea-Bissau,GNB,276,Germany,DEU,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,29876,,,0
H1,2005,2005,2005,0,0,1,Import,624,Guinea-Bissau,GNB,324,Guinea,GIN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,382478,,,0
H1,2005,2005,2005,0,0,1,Import,624,Guinea-Bissau,GNB,381,Italy,ITA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,48643,,,0
H1,2005,2005,2005,0,0,1,Import,624,Guinea-Bissau,GNB,384,Côte d'Ivoire,CIV,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,11964,,,0
H1,2005,2005,2005,0,0,1,Import,624,Guinea-Bissau,GNB,392,Japan,JPN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,51613,,,0
H1,2005,2005,2005,0,0,1,Import,624,Guinea-Bissau,GNB,408,Dem. People's Rep. of Korea,PRK,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,56870,,,0
H1,2005,2005,2005,0,0,1,Import,624,Guinea-Bissau,GNB,430,Liberia,LBR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,56285,,,0
H1,2005,2005,2005,0,0,1,Import,624,Guinea-Bissau,GNB,478,Mauritania,MRT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4865,,,0
H1,2005,2005,2005,0,0,1,Import,624,Guinea-Bissau,GNB,504,Morocco,MAR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,559681,,,0
H1,2005,2005,2005,0,0,1,Import,624,Guinea-Bissau,GNB,528,Netherlands,NLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,6671598,,,0
H1,2005,2005,2005,0,0,1,Import,624,Guinea-Bissau,GNB,591,Panama,PAN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,28548,,,0
H1,2005,2005,2005,0,0,1,Import,624,Guinea-Bissau,GNB,620,Portugal,PRT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,41559000,,,0
H1,2005,2005,2005,0,0,1,Import,624,Guinea-Bissau,GNB,643,Russian Federation,RUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,31706,,,0
H1,2005,2005,2005,0,0,1,Import,624,Guinea-Bissau,GNB,686,Senegal,SEN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,45723375,,,0
H1,2005,2005,2005,0,0,1,Import,624,Guinea-Bissau,GNB,699,India,IND,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,38505,,,0
H1,2005,2005,2005,0,0,1,Import,624,Guinea-Bissau,GNB,702,Singapore,SGP,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,144840,,,0
H1,2005,2005,2005,0,0,1,Import,624,Guinea-Bissau,GNB,724,Spain,ESP,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,364480,,,0
H1,2005,2005,2005,0,0,1,Import,624,Guinea-Bissau,GNB,764,Thailand,THA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,7798237,,,0
H1,2005,2005,2005,0,0,1,Import,624,Guinea-Bissau,GNB,818,Egypt,EGY,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,7014,,,0
H1,2005,2005,2005,0,0,1,Import,624,Guinea-Bissau,GNB,826,United Kingdom,GBR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,45413,,,0
