Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,669976837,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,43615,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3054809,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2416686,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,52,Barbados,BRB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,194227,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,64330,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,60,Bermuda,BMU,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,195233,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,68,Bolivia (Plurinational State of),BOL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,273612,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,76,Brazil,BRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2277235,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,92,Br. Virgin Isds,VGB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2457,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,124,Canada,CAN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,38418855,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,136,Cayman Isds,CYM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,127231,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,152,Chile,CHL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,272757,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,156,China,CHN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,10445549,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,170,Colombia,COL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,8639,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,188,Costa Rica,CRI,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,6232,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,192,Cuba,CUB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,27202,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,196,Cyprus,CYP,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3200,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,208,Denmark,DNK,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,500,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,212,Dominica,DMA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3420,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,214,Dominican Rep.,DOM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,133366,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,222,El Salvador,SLV,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,247736,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,246,Finland,FIN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,609527,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,251,France,FRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,33012901,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,276,Germany,DEU,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,15983824,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,300,Greece,GRC,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,201159,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,308,Grenada,GRD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,21732,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,320,Guatemala,GTM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,91750,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,328,Guyana,GUY,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,14136,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,332,Haiti,HTI,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,285173,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,340,Honduras,HND,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,136514,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,344,"China, Hong Kong SAR",HKG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1182787,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,348,Hungary,HUN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,15000,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,352,Iceland,ISL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,240134,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,372,Ireland,IRL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,511694,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,376,Israel,ISR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3444,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,381,Italy,ITA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,121656,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,388,Jamaica,JAM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,481344,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,392,Japan,JPN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1214656,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,410,Rep. of Korea,KOR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,49952,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,458,Malaysia,MYS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,8000,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,480,Mauritius,MUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,433577,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,484,Mexico,MEX,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,814841,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,500,Montserrat,MSR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,20000,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,528,Netherlands,NLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,37743125,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,530,Neth. Antilles,ANT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,749079,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,533,Aruba,ABW,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2707035,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,558,Nicaragua,NIC,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,71960,,,0
H2,2007,2007,2007,0,0,2,Export,44,Bahamas,BHS,566,Nigeria,NGA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,28000,,,0
