Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,2007,2007,2007,0,0,2,Export,776,Tonga,TON,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,8048041,,,0
H0,2007,2007,2007,0,0,2,Export,776,Tonga,TON,16,American Samoa,ASM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,305091,,,0
H0,2007,2007,2007,0,0,2,Export,776,Tonga,TON,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,571396,,,0
H0,2007,2007,2007,0,0,2,Export,776,Tonga,TON,116,Cambodia,KHM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,56,,,0
H0,2007,2007,2007,0,0,2,Export,776,Tonga,TON,124,Canada,CAN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2183,,,0
H0,2007,2007,2007,0,0,2,Export,776,Tonga,TON,156,China,CHN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,61433,,,0
H0,2007,2007,2007,0,0,2,Export,776,Tonga,TON,242,Fiji,FJI,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,21560,,,0
H0,2007,2007,2007,0,0,2,Export,776,Tonga,TON,276,Germany,DEU,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,54448,,,0
H0,2007,2007,2007,0,0,2,Export,776,Tonga,TON,344,"China, Hong Kong SAR",HKG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,29135,,,0
H0,2007,2007,2007,0,0,2,Export,776,Tonga,TON,392,Japan,JPN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1052876,,,0
H0,2007,2007,2007,0,0,2,Export,776,Tonga,TON,410,Rep. of Korea,KOR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,154391,,,0
H0,2007,2007,2007,0,0,2,Export,776,Tonga,TON,490,"Other Asia, nes",,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,180024,,,0
H0,2007,2007,2007,0,0,2,Export,776,Tonga,TON,554,New Zealand,NZL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2681652,,,0
H0,2007,2007,2007,0,0,2,Export,776,Tonga,TON,598,Papua New Guinea,PNG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4313,,,0
H0,2007,2007,2007,0,0,2,Export,776,Tonga,TON,608,Philippines,PHL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,17321,,,0
H0,2007,2007,2007,0,0,2,Export,776,Tonga,TON,702,Singapore,SGP,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,53692,,,0
H0,2007,2007,2007,0,0,2,Export,776,Tonga,TON,826,United Kingdom,GBR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,41811,,,0
H0,2007,2007,2007,0,0,2,Export,776,Tonga,TON,842,USA,USA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2468117,,,0
H0,2007,2007,2007,0,0,2,Export,776,Tonga,TON,876,Wallis and Futuna Isds,WLF,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,15,,,0
H0,2007,2007,2007,0,0,2,Export,776,Tonga,TON,882,Samoa,WSM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,348527,,,0
