Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2008,2008,2008,0,0,2,Export,184,Cook Isds,COK,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,4138465,,,0
H3,2008,2008,2008,0,0,2,Export,184,Cook Isds,COK,16,American Samoa,ASM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,41317,,,0
H3,2008,2008,2008,0,0,2,Export,184,Cook Isds,COK,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,98743,,,0
H3,2008,2008,2008,0,0,2,Export,184,Cook Isds,COK,152,Chile,CHL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,3185,,,0
H3,2008,2008,2008,0,0,2,Export,184,Cook Isds,COK,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1056774,,,0
H3,2008,2008,2008,0,0,2,Export,184,Cook Isds,COK,242,Fiji,FJI,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,76547,,,0
H3,2008,2008,2008,0,0,2,Export,184,Cook Isds,COK,251,France,FRA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,11823,,,0
H3,2008,2008,2008,0,0,2,Export,184,Cook Isds,COK,316,Guam,GUM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,38614,,,0
H3,2008,2008,2008,0,0,2,Export,184,Cook Isds,COK,360,Indonesia,IDN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,71037,,,0
H3,2008,2008,2008,0,0,2,Export,184,Cook Isds,COK,381,Italy,ITA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,40720,,,0
H3,2008,2008,2008,0,0,2,Export,184,Cook Isds,COK,392,Japan,JPN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,2005349,,,0
H3,2008,2008,2008,0,0,2,Export,184,Cook Isds,COK,528,Netherlands,NLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,3456,,,0
H3,2008,2008,2008,0,0,2,Export,184,Cook Isds,COK,554,New Zealand,NZL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,517440,,,0
H3,2008,2008,2008,0,0,2,Export,184,Cook Isds,COK,579,Norway,NOR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,9380,,,0
H3,2008,2008,2008,0,0,2,Export,184,Cook Isds,COK,608,Philippines,PHL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1580,,,0
H3,2008,2008,2008,0,0,2,Export,184,Cook Isds,COK,699,India,IND,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,23843,,,0
H3,2008,2008,2008,0,0,2,Export,184,Cook Isds,COK,764,Thailand,THA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,49140,,,0
H3,2008,2008,2008,0,0,2,Export,184,Cook Isds,COK,826,United Kingdom,GBR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,8712,,,0
H3,2008,2008,2008,0,0,2,Export,184,Cook Isds,COK,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,80803,,,0
