Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,313684474,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,20,Andorra,AND,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1300,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,7686094,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,556,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,158295,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,43245,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,44,Bahamas,BHS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4659999,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,48,Bahrain,BHR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,5202,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,7526,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,51,Armenia,ARM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,248411,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,44793,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,60,Bermuda,BMU,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,855705,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,70,Bosnia Herzegovina,BIH,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,13412,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,76,Brazil,BRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,149003,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,84,Belize,BLZ,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1805416,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,86,Br. Indian Ocean Terr.,IOT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,306,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,92,Br. Virgin Isds,VGB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3573170,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,100,Bulgaria,BGR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,88,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,112,Belarus,BLR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,20,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,124,Canada,CAN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,8079600,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,132,Cabo Verde,CPV,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,45906,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,136,Cayman Isds,CYM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,680880,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,144,Sri Lanka,LKA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1900,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,152,Chile,CHL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,29141,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,156,China,CHN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2462600,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,162,Christmas Isds,CXR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,5281,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,166,Cocos Isds,CCK,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,155,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,170,Colombia,COL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,172327,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,174,Comoros,COM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,5243,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,188,Costa Rica,CRI,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,79513,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,192,Cuba,CUB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,19104,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,203,Czechia,CZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,446640,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,208,Denmark,DNK,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,189083,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,212,Dominica,DMA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4312093,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,214,Dominican Rep.,DOM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2667778,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,218,Ecuador,ECU,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,21614,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,222,El Salvador,SLV,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,63283,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,246,Finland,FIN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,16605,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,251,France,FRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,5188831,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,258,French Polynesia,PYF,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2143,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,262,Djibouti,DJI,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,5000,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,266,Gabon,GAB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,109002,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,268,Georgia,GEO,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,279,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,276,Germany,DEU,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2044703,,,0
H2,2010,2010,2010,0,0,2,Export,52,Barbados,BRB,288,Ghana,GHA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,38,,,0
