Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,507891844,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,4,Afghanistan,AFG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,204,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,32,Argentina,ARG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,657142,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,681492,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,40,Austria,AUT,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,258475,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,44,Bahamas,BHS,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,132380,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,50,Bangladesh,BGD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,45656,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,51,Armenia,ARM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,14631,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,52,Barbados,BRB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,5249606,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,56,Belgium,BEL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,902912,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,60,Bermuda,BMU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,18981,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,64,Bhutan,BTN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,27,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,68,Bolivia (Plurinational State of),BOL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1311,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,70,Bosnia Herzegovina,BIH,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,7,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,72,Botswana,BWA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,685,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,76,Brazil,BRA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,6516597,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,84,Belize,BLZ,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,8828,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,92,Br. Virgin Isds,VGB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,136376,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,100,Bulgaria,BGR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,44798,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,112,Belarus,BLR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1485,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,116,Cambodia,KHM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,21368,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,120,Cameroon,CMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,655,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,124,Canada,CAN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,5660245,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,136,Cayman Isds,CYM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,6286,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,140,Central African Rep.,CAF,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1112,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,144,Sri Lanka,LKA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,26302,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,152,Chile,CHL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1328076,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,19662194,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,162,Christmas Isds,CXR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,8,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,166,Cocos Isds,CCK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,63,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,170,Colombia,COL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,2841351,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,188,Costa Rica,CRI,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,639863,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,191,Croatia,HRV,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,7229,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,192,Cuba,CUB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,17474,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,196,Cyprus,CYP,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,83050,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,203,Czechia,CZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,11367,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,208,Denmark,DNK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,620196,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,212,Dominica,DMA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,2648877,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,214,Dominican Rep.,DOM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,4391094,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,218,Ecuador,ECU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,97935,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,222,El Salvador,SLV,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,203333,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,231,Ethiopia,ETH,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,482,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,233,Estonia,EST,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,317861,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,242,Fiji,FJI,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,56712,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,246,Finland,FIN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,221990,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,251,France,FRA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,5221600,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,260,Fr. South Antarctic Terr.,ATF,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,3423,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,266,Gabon,GAB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,6682,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,276,Germany,DEU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,3561063,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,288,Ghana,GHA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,2754,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,300,Greece,GRC,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1895,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,308,Grenada,GRD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1597672,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,316,Guam,GUM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,3744,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,320,Guatemala,GTM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,816378,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,328,Guyana,GUY,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,3094035,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,332,Haiti,HTI,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,7748,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,336,Holy See (Vatican City State),VAT,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,17716,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,340,Honduras,HND,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1053484,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,344,"China, Hong Kong SAR",HKG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,819424,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,348,Hungary,HUN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,149469,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,352,Iceland,ISL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,108,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,360,Indonesia,IDN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,510233,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,372,Ireland,IRL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,194607,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,376,Israel,ISR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,424478,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,381,Italy,ITA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,4066975,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,388,Jamaica,JAM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,5411523,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,392,Japan,JPN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,10274940,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,400,Jordan,JOR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,2314,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,408,Dem. People's Rep. of Korea,PRK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1091233,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,410,Rep. of Korea,KOR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,4677991,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,422,Lebanon,LBN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,56,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,426,Lesotho,LSO,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,89,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,428,Latvia,LVA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,24812,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,440,Lithuania,LTU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,94,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,442,Luxembourg,LUX,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,284146,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,446,"China, Macao SAR",MAC,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,40,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,458,Malaysia,MYS,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,807710,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,470,Malta,MLT,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,168999,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,478,Mauritania,MRT,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,16821,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,480,Mauritius,MUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,17659,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,484,Mexico,MEX,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,3710403,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,490,"Other Asia, nes",,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,288474,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,500,Montserrat,MSR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,91446,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,504,Morocco,MAR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,5549,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,516,Namibia,NAM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,2311,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,524,Nepal,NPL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,215,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,528,Netherlands,NLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,3880573,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,531,Curaçao,CUW,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,5106619,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,533,Aruba,ABW,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1608,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,554,New Zealand,NZL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,579564,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,558,Nicaragua,NIC,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,12502,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,566,Nigeria,NGA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,26623,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,579,Norway,NOR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,391927,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,581,United States Minor Outlying Islands,UMI,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,24672,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,586,Pakistan,PAK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,44758,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,591,Panama,PAN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1884269,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,604,Peru,PER,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,846543,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,608,Philippines,PHL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,96235,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,616,Poland,POL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,45499,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,620,Portugal,PRT,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,52791,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,642,Romania,ROU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,32968,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,643,Russian Federation,RUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,10732,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,659,Saint Kitts and Nevis,KNA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,819157,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,660,Anguilla,AIA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,222,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,662,Saint Lucia,LCA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,589781,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,670,Saint Vincent and the Grenadines,VCT,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,5753084,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,682,Saudi Arabia,SAU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,395,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,694,Sierra Leone,SLE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,2728,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,699,India,IND,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1389847,,,0
H3,2013,2013,2013,0,0,1,Import,28,Antigua and Barbuda,ATG,702,Singapore,SGP,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,127636,,,0
