Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,40412323,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,4,Afghanistan,AFG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,23783,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,8,Albania,ALB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,12259,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,12,Algeria,DZA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,67,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1204883,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,44,Bahamas,BHS,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,150,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,51,Armenia,ARM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,16820,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,52,Barbados,BRB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,49940,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,68,Bolivia (Plurinational State of),BOL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,17037,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,84,Belize,BLZ,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,373800,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,92,Br. Virgin Isds,VGB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,146446,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,100,Bulgaria,BGR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,5926,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,112,Belarus,BLR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,29400,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,124,Canada,CAN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,42683,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,136,Cayman Isds,CYM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,370,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,3704,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,188,Costa Rica,CRI,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,5926,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,208,Denmark,DNK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,2000,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,212,Dominica,DMA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,459849,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,214,Dominican Rep.,DOM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,10761,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,218,Ecuador,ECU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,3074,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,251,France,FRA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,333779,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,276,Germany,DEU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,53969,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,308,Grenada,GRD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,527636,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,320,Guatemala,GTM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,6601,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,328,Guyana,GUY,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,7954,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,332,Haiti,HTI,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,500,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,336,Holy See (Vatican City State),VAT,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,173,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,372,Ireland,IRL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,519,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,381,Italy,ITA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1200,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,388,Jamaica,JAM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,115049,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,478,Mauritania,MRT,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1044,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,500,Montserrat,MSR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,253325,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,528,Netherlands,NLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,108081,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,531,Curaçao,CUW,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,34541,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,534,Saint Maarten,SXM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,492551,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,581,United States Minor Outlying Islands,UMI,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,263133,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,591,Panama,PAN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,527331,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,634,Qatar,QAT,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,111,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,660,Anguilla,AIA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,388856,,,0
H3,2013,2013,2013,0,0,2,Export,659,Saint Kitts and Nevis,KNA,662,Saint Lucia,LCA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1138822,,,0
