Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,12041580986,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,4,Afghanistan,AFG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,43292,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,12,Algeria,DZA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,17284,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,16,American Samoa,ASM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,105020,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,20,Andorra,AND,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,44678,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,31,Azerbaijan,AZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,687526,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,32,Argentina,ARG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,408636727,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,384204522,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,40,Austria,AUT,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,35897396,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,48,Bahrain,BHR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,21607345,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,50,Bangladesh,BGD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,2814481,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,51,Armenia,ARM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,2313,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,56,Belgium,BEL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,51066005,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,70,Bosnia Herzegovina,BIH,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,245561,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,76,Brazil,BRA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,741575935,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,84,Belize,BLZ,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1284,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,100,Bulgaria,BGR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,5528086,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,116,Cambodia,KHM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,9205,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,120,Cameroon,CMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,24570,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,124,Canada,CAN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,47852231,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,136,Cayman Isds,CYM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,5913042,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,140,Central African Rep.,CAF,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,828,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,144,Sri Lanka,LKA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,3863000,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,148,Chad,TCD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,2056,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,152,Chile,CHL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,685684,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1366401714,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,170,Colombia,COL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,2647380,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,174,Comoros,COM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,6384,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,188,Costa Rica,CRI,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,232640,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,191,Croatia,HRV,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,20713,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,192,Cuba,CUB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,14676,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,196,Cyprus,CYP,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,999940,,,0
H4,2014,2014,2014,0,0,1,Import,887,Yemen,YEM,203,Czechia,CZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,18630416,,,0
