Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,4320219367,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,4,Afghanistan,AFG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,6941,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,12,Algeria,DZA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,6380700,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,261,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,32,Argentina,ARG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,17148595,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1104052,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,40,Austria,AUT,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,57976247,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,44,Bahamas,BHS,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,3195,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,48,Bahrain,BHR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1007803,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,50,Bangladesh,BGD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,5645816,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,51,Armenia,ARM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,3224,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,52,Barbados,BRB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,3106,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,56,Belgium,BEL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,23170014,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,68,Bolivia (Plurinational State of),BOL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,2765,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,70,Bosnia Herzegovina,BIH,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,25528962,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,76,Brazil,BRA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,36658056,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,84,Belize,BLZ,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1605,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,86,Br. Indian Ocean Terr.,IOT,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,20249,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,92,Br. Virgin Isds,VGB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,17473,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,100,Bulgaria,BGR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,59326345,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,104,Myanmar,MMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,161844,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,108,Burundi,BDI,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,536,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,112,Belarus,BLR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,95811,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,116,Cambodia,KHM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,872626,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,120,Cameroon,CMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,293335,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,124,Canada,CAN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,31681431,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,132,Cabo Verde,CPV,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,4131,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,144,Sri Lanka,LKA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,422306,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,148,Chad,TCD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1247,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,152,Chile,CHL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,179133,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,369412493,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,170,Colombia,COL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,512206,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,174,Comoros,COM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,5649,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,184,Cook Isds,COK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,507,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,188,Costa Rica,CRI,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,523658,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,191,Croatia,HRV,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,59109320,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,192,Cuba,CUB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,135440,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,196,Cyprus,CYP,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1483647,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,203,Czechia,CZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,31138346,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,204,Benin,BEN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,533,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,208,Denmark,DNK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,10257101,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,214,Dominican Rep.,DOM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,206702,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,218,Ecuador,ECU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,14698889,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,222,El Salvador,SLV,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,3519,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,231,Ethiopia,ETH,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,156059,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,232,Eritrea,ERI,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1412,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,233,Estonia,EST,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,207139,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,234,Faeroe Isds,FRO,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,37654,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,238,Falkland Isds (Malvinas),FLK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1000601,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,242,Fiji,FJI,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,223,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,246,Finland,FIN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,15662550,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,251,France,FRA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,95669326,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,258,French Polynesia,PYF,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1220,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,266,Gabon,GAB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,270541,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,268,Georgia,GEO,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,15733,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,276,Germany,DEU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,288357916,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,288,Ghana,GHA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,60351,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,300,Greece,GRC,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,338882366,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,304,Greenland,GRL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,87234,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,308,Grenada,GRD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,2800,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,320,Guatemala,GTM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,23735,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,324,Guinea,GIN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,6123,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,336,Holy See (Vatican City State),VAT,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1584,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,340,Honduras,HND,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,119912,,,0
H4,2015,2015,2015,0,0,1,Import,8,Albania,ALB,344,"China, Hong Kong SAR",HKG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1845563,,,0
