Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2015,2015,2015,0,0,2,Export,585,Palau,PLW,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,6384671,,,0
H4,2015,2015,2015,0,0,2,Export,585,Palau,PLW,20,Andorra,AND,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,11500,,,0
H4,2015,2015,2015,0,0,2,Export,585,Palau,PLW,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,31350,,,0
H4,2015,2015,2015,0,0,2,Export,585,Palau,PLW,124,Canada,CAN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,15000,,,0
H4,2015,2015,2015,0,0,2,Export,585,Palau,PLW,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,3060,,,0
H4,2015,2015,2015,0,0,2,Export,585,Palau,PLW,276,Germany,DEU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,2700,,,0
H4,2015,2015,2015,0,0,2,Export,585,Palau,PLW,316,Guam,GUM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1270160,,,0
H4,2015,2015,2015,0,0,2,Export,585,Palau,PLW,392,Japan,JPN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,383238,,,0
H4,2015,2015,2015,0,0,2,Export,585,Palau,PLW,410,Rep. of Korea,KOR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,645,,,0
H4,2015,2015,2015,0,0,2,Export,585,Palau,PLW,458,Malaysia,MYS,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,16025,,,0
H4,2015,2015,2015,0,0,2,Export,585,Palau,PLW,490,"Other Asia, nes",,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,132232,,,0
H4,2015,2015,2015,0,0,2,Export,585,Palau,PLW,580,N. Mariana Isds,MNP,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,3575,,,0
H4,2015,2015,2015,0,0,2,Export,585,Palau,PLW,583,FS Micronesia,FSM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,48077,,,0
H4,2015,2015,2015,0,0,2,Export,585,Palau,PLW,584,Marshall Isds,MHL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,5000,,,0
H4,2015,2015,2015,0,0,2,Export,585,Palau,PLW,591,Panama,PAN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,346,,,0
H4,2015,2015,2015,0,0,2,Export,585,Palau,PLW,608,Philippines,PHL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,150,,,0
H4,2015,2015,2015,0,0,2,Export,585,Palau,PLW,702,Singapore,SGP,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,150,,,0
H4,2015,2015,2015,0,0,2,Export,585,Palau,PLW,826,United Kingdom,GBR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,494,,,0
H4,2015,2015,2015,0,0,2,Export,585,Palau,PLW,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,2167734,,,0
H4,2015,2015,2015,0,0,2,Export,585,Palau,PLW,899,"Areas, nes",,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,2293234,,,0
