Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,957810868,,,0
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,12,Algeria,DZA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,2428109,,,0
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,33926,,,0
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,40,Austria,AUT,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,403589,,,0
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,48,Bahrain,BHR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,309211,,,0
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,56,Belgium,BEL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,378620,,,0
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,100,Bulgaria,BGR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,620,,,0
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,124,Canada,CAN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,580356,,,0
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1240,,,0
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,196,Cyprus,CYP,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,104701,,,0
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,203,Czechia,CZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,34520,,,0
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,208,Denmark,DNK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,68450,,,0
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,246,Finland,FIN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,3816,,,0
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,251,France,FRA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1561555,,,0
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,276,Germany,DEU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,920512,,,0
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,300,Greece,GRC,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,73695,,,0
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,344,"China, Hong Kong SAR",HKG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,17958,,,0
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,348,Hungary,HUN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,936,,,0
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,360,Indonesia,IDN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,338534,,,0
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,364,Iran,IRN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,237,,,0
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,368,Iraq,IRQ,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,136923,,,0
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,372,Ireland,IRL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,4440,,,0
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,376,Israel,ISR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,803626333,,,0
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,381,Italy,ITA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1305560,,,0
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,392,Japan,JPN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,480773,,,0
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,400,Jordan,JOR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,60126926,,,0
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,410,Rep. of Korea,KOR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,153417,,,0
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,414,Kuwait,KWT,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,12659983,,,0
H4,2015,2015,2015,0,0,2,Export,275,State of Palestine,PSE,422,Lebanon,LBN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,120106,,,0
