Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,,,7192846758,,,4
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,12,Algeria,DZA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,12614,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,24,Angola,AGO,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,2000990,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,178964,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,50,Bangladesh,BGD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,7585894,,,4
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,56,Belgium,BEL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,25614583,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,72,Botswana,BWA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,13092,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,76,Brazil,BRA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,11563,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,104,Myanmar,MMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,56346,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,108,Burundi,BDI,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1449591,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,120,Cameroon,CMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1033472,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,124,Canada,CAN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,3132717,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,140,Central African Rep.,CAF,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,4002776,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,144,Sri Lanka,LKA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,62265,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,152,Chile,CHL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,11,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,817202704,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,178,Congo,COG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,16584395,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,191,Croatia,HRV,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,14736,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,204,Benin,BEN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,104300,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,208,Denmark,DNK,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,73839,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,231,Ethiopia,ETH,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,394392,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,246,Finland,FIN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,153,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,251,France,FRA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,5524049,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,262,Djibouti,DJI,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,20304,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,266,Gabon,GAB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,85011,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,276,Germany,DEU,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,21977775,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,288,Ghana,GHA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,248383,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,300,Greece,GRC,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,80979,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,308,Grenada,GRD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,8925,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,324,Guinea,GIN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,70186,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,332,Haiti,HTI,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,505,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,344,"China, Hong Kong SAR",HKG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,3552260,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,360,Indonesia,IDN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1178915,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,368,Iraq,IRQ,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,43157,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,372,Ireland,IRL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,541,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,376,Israel,ISR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,18097,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,381,Italy,ITA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,3061439,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,384,Côte d'Ivoire,CIV,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,,,281141438,,,4
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,392,Japan,JPN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,268051,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,400,Jordan,JOR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,17015,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,404,Kenya,KEN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,5524188,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,408,Dem. People's Rep. of Korea,PRK,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,124031,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,410,Rep. of Korea,KOR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,100624,,,0
H4,2016,2016,2016,0,0,2,Export,180,Dem. Rep. of the Congo,COD,414,Kuwait,KWT,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,9232,,,0
