Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,0,0,2,Export,324,Guinea,GIN,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,2394528520,,,4
H4,2016,2016,2016,0,0,2,Export,324,Guinea,GIN,12,Algeria,DZA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,8433,,,0
H4,2016,2016,2016,0,0,2,Export,324,Guinea,GIN,20,Andorra,AND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,126246,,,0
H4,2016,2016,2016,0,0,2,Export,324,Guinea,GIN,24,Angola,AGO,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,132873,,,0
H4,2016,2016,2016,0,0,2,Export,324,Guinea,GIN,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,4425,,,0
H4,2016,2016,2016,0,0,2,Export,324,Guinea,GIN,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,61979,,,0
H4,2016,2016,2016,0,0,2,Export,324,Guinea,GIN,40,Austria,AUT,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,320,,,0
H4,2016,2016,2016,0,0,2,Export,324,Guinea,GIN,44,Bahamas,BHS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1896,,,0
H4,2016,2016,2016,0,0,2,Export,324,Guinea,GIN,56,Belgium,BEL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,44598250,,,4
H4,2016,2016,2016,0,0,2,Export,324,Guinea,GIN,68,Bolivia (Plurinational State of),BOL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,34134,,,0
H4,2016,2016,2016,0,0,2,Export,324,Guinea,GIN,76,Brazil,BRA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,57088,,,0
H4,2016,2016,2016,0,0,2,Export,324,Guinea,GIN,96,Brunei Darussalam,BRN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,13012,,,0
H4,2016,2016,2016,0,0,2,Export,324,Guinea,GIN,108,Burundi,BDI,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,2844,,,0
H4,2016,2016,2016,0,0,2,Export,324,Guinea,GIN,120,Cameroon,CMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,23227,,,0
H4,2016,2016,2016,0,0,2,Export,324,Guinea,GIN,124,Canada,CAN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,40544589,,,4
H4,2016,2016,2016,0,0,2,Export,324,Guinea,GIN,148,Chad,TCD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,670964,,,0
H4,2016,2016,2016,0,0,2,Export,324,Guinea,GIN,152,Chile,CHL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,47466,,,0
