Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2016,2016,2016,0,0,2,Export,328,Guyana,GUY,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1452631561,,,0
H3,2016,2016,2016,0,0,2,Export,328,Guyana,GUY,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,3875136,,,0
H3,2016,2016,2016,0,0,2,Export,328,Guyana,GUY,32,Argentina,ARG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1,,,0
H3,2016,2016,2016,0,0,2,Export,328,Guyana,GUY,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,269573,,,0
H3,2016,2016,2016,0,0,2,Export,328,Guyana,GUY,40,Austria,AUT,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,812,,,0
H3,2016,2016,2016,0,0,2,Export,328,Guyana,GUY,44,Bahamas,BHS,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,387290,,,0
H3,2016,2016,2016,0,0,2,Export,328,Guyana,GUY,48,Bahrain,BHR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,8178,,,0
H3,2016,2016,2016,0,0,2,Export,328,Guyana,GUY,50,Bangladesh,BGD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,59171,,,0
H3,2016,2016,2016,0,0,2,Export,328,Guyana,GUY,52,Barbados,BRB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,16621344,,,0
H3,2016,2016,2016,0,0,2,Export,328,Guyana,GUY,56,Belgium,BEL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,26808059,,,0
H3,2016,2016,2016,0,0,2,Export,328,Guyana,GUY,60,Bermuda,BMU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,631801,,,0
H3,2016,2016,2016,0,0,2,Export,328,Guyana,GUY,70,Bosnia Herzegovina,BIH,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,47293,,,0
H3,2016,2016,2016,0,0,2,Export,328,Guyana,GUY,74,Bouvet Island,BVT,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,59200,,,0
H3,2016,2016,2016,0,0,2,Export,328,Guyana,GUY,76,Brazil,BRA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,6351673,,,0
H3,2016,2016,2016,0,0,2,Export,328,Guyana,GUY,84,Belize,BLZ,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,912643,,,0
H3,2016,2016,2016,0,0,2,Export,328,Guyana,GUY,92,Br. Virgin Isds,VGB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,580893,,,0
H3,2016,2016,2016,0,0,2,Export,328,Guyana,GUY,100,Bulgaria,BGR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,511833,,,0
H3,2016,2016,2016,0,0,2,Export,328,Guyana,GUY,120,Cameroon,CMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,69421,,,0
H3,2016,2016,2016,0,0,2,Export,328,Guyana,GUY,124,Canada,CAN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,444304792,,,0
H3,2016,2016,2016,0,0,2,Export,328,Guyana,GUY,136,Cayman Isds,CYM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1861976,,,0
H3,2016,2016,2016,0,0,2,Export,328,Guyana,GUY,152,Chile,CHL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,12149,,,0
H3,2016,2016,2016,0,0,2,Export,328,Guyana,GUY,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,16387121,,,0
H3,2016,2016,2016,0,0,2,Export,328,Guyana,GUY,170,Colombia,COL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,985844,,,0
H3,2016,2016,2016,0,0,2,Export,328,Guyana,GUY,178,Congo,COG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,50889,,,0
H3,2016,2016,2016,0,0,2,Export,328,Guyana,GUY,188,Costa Rica,CRI,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,52598,,,0
H3,2016,2016,2016,0,0,2,Export,328,Guyana,GUY,191,Croatia,HRV,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,10763,,,0
H3,2016,2016,2016,0,0,2,Export,328,Guyana,GUY,192,Cuba,CUB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,2154,,,0
H3,2016,2016,2016,0,0,2,Export,328,Guyana,GUY,203,Czechia,CZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,15124,,,0
