Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,168375228233,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,4,Afghanistan,AFG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,191408,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,8,Albania,ALB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,594514,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,12,Algeria,DZA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,912813,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,16,American Samoa,ASM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,357178,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,20,Andorra,AND,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,860,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,24,Angola,AGO,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1065699,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,217125,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,31,Azerbaijan,AZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,233448,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,32,Argentina,ARG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1020014530,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,3762046492,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,40,Austria,AUT,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,530199036,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,44,Bahamas,BHS,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,6400447,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,48,Bahrain,BHR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,143435532,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,50,Bangladesh,BGD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,190022275,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,51,Armenia,ARM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,140769,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,52,Barbados,BRB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,54018,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,56,Belgium,BEL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,636779296,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,60,Bermuda,BMU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1660,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,64,Bhutan,BTN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,19214,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,68,Bolivia (Plurinational State of),BOL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,14449403,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,70,Bosnia Herzegovina,BIH,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,229680,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,72,Botswana,BWA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,8094,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,76,Brazil,BRA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,2037282914,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,84,Belize,BLZ,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,259301,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,90,Solomon Isds,SLB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,16113161,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,92,Br. Virgin Isds,VGB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1048304,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,96,Brunei Darussalam,BRN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,156994129,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,100,Bulgaria,BGR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,32186383,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,104,Myanmar,MMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,198630260,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,112,Belarus,BLR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,36246228,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,116,Cambodia,KHM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,140743623,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,120,Cameroon,CMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,71855304,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,124,Canada,CAN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,666605107,,,0
H4,2016,2016,2016,0,0,1,Import,458,Malaysia,MYS,136,Cayman Isds,CYM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1241,,,0
