Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,117965611,,,4
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,8,Albania,ALB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,350,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,20,Andorra,AND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,2780,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,31,Azerbaijan,AZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,4719,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,32,Argentina,ARG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,35984,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,115208,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,40,Austria,AUT,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,112874,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,44,Bahamas,BHS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,206,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,48,Bahrain,BHR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,796,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,51,Armenia,ARM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1274,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,56,Belgium,BEL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1542820,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,68,Bolivia (Plurinational State of),BOL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,7,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,70,Bosnia Herzegovina,BIH,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,64,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,76,Brazil,BRA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,14418,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,96,Brunei Darussalam,BRN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,326,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,100,Bulgaria,BGR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,21582,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,112,Belarus,BLR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,8206,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,116,Cambodia,KHM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,9762,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,124,Canada,CAN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,52389,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,132,Cabo Verde,CPV,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,110,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,144,Sri Lanka,LKA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,4093,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,152,Chile,CHL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,588469,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,686317,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,170,Colombia,COL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,334035,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,174,Comoros,COM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,45626,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,188,Costa Rica,CRI,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,9201,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,191,Croatia,HRV,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,16701,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,196,Cyprus,CYP,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,805,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,203,Czechia,CZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,32637,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,208,Denmark,DNK,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,117876,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,214,Dominican Rep.,DOM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,197,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,218,Ecuador,ECU,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,54,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,222,El Salvador,SLV,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,92226,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,226,Equatorial Guinea,GNQ,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,39924,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,233,Estonia,EST,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1190,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,242,Fiji,FJI,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1423,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,246,Finland,FIN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,2518,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,251,France,FRA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,21532162,,,4
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,266,Gabon,GAB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,339,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,268,Georgia,GEO,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,154,,,0
