Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,591585318,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,12,Algeria,DZA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,684367,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,20,Andorra,AND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,35429,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,7219569,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,40,Austria,AUT,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,32948,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,48,Bahrain,BHR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,5530,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,50,Bangladesh,BGD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,2134,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,52,Barbados,BRB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,18866,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,56,Belgium,BEL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,2202022,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,76,Brazil,BRA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,649,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,100,Bulgaria,BGR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,913,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,112,Belarus,BLR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,68578,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,124,Canada,CAN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,5010479,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,144,Sri Lanka,LKA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,3575124,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,148,Chad,TCD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,547,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,583744,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,180,Dem. Rep. of the Congo,COD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,99089,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,192,Cuba,CUB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,139965,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,196,Cyprus,CYP,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,418235,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,203,Czechia,CZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1572104,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,208,Denmark,DNK,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,8940516,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,231,Ethiopia,ETH,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,2020,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,246,Finland,FIN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1360446,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,251,France,FRA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,107027294,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,262,Djibouti,DJI,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,3684,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,266,Gabon,GAB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,631744,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,268,Georgia,GEO,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,516621,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,276,Germany,DEU,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,14324670,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,288,Ghana,GHA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,226212,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,300,Greece,GRC,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,10129,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,340,Honduras,HND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,5638,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,344,"China, Hong Kong SAR",HKG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,5129431,,,0
H3,2017,2017,2017,0,0,2,Export,690,Seychelles,SYC,348,Hungary,HUN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1657,,,0
