Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,18612965523,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,4,Afghanistan,AFG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1024154,,,0
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,8,Albania,ALB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,382891,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,12,Algeria,DZA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,4108,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,10379,,,0
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,31,Azerbaijan,AZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,320366,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,32,Argentina,ARG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,9929310,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,2156504,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,40,Austria,AUT,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,191540719,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,48,Bahrain,BHR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,20915,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,50,Bangladesh,BGD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,886359,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,51,Armenia,ARM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,2692906,,,0
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,56,Belgium,BEL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,303537261,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,68,Bolivia (Plurinational State of),BOL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,3989,,,0
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,70,Bosnia Herzegovina,BIH,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,861462,,,0
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,76,Brazil,BRA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,7908948,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,92,Br. Virgin Isds,VGB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,144,,,0
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,100,Bulgaria,BGR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,46348128,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,104,Myanmar,MMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,571156,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,112,Belarus,BLR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,369150104,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,116,Cambodia,KHM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,787582,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,124,Canada,CAN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,868716663,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,144,Sri Lanka,LKA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,7058003,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,148,Chad,TCD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,369039,,,0
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,152,Chile,CHL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,4604196,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,577822796,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,170,Colombia,COL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,608330,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,174,Comoros,COM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,202247,,,0
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,178,Congo,COG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,95,,,0
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,188,Costa Rica,CRI,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,77418,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,191,Croatia,HRV,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,11850385,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,196,Cyprus,CYP,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,8731003,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,203,Czechia,CZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,248021393,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,208,Denmark,DNK,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,369673890,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,212,Dominica,DMA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,12641,,,0
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,214,Dominican Rep.,DOM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,120043,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,218,Ecuador,ECU,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,697508,,,0
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,222,El Salvador,SLV,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,2983,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,231,Ethiopia,ETH,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,96289,,,0
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,233,Estonia,EST,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1596202883,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,234,Faeroe Isds,FRO,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,5572936,,,0
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,238,Falkland Isds (Malvinas),FLK,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,4963,,,0
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,246,Finland,FIN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,793784184,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,251,France,FRA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,326663839,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,268,Georgia,GEO,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,7007171,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,276,Germany,DEU,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1953490734,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,288,Ghana,GHA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1550337,,,0
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,292,Gibraltar,GIB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,10739,,,0
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,300,Greece,GRC,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,23380614,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,304,Greenland,GRL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,359212,,,0
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,320,Guatemala,GTM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,5782,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,324,Guinea,GIN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,6010,,,0
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,328,Guyana,GUY,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,2558,,,0
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,332,Haiti,HTI,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,4821,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,340,Honduras,HND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,27975,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,344,"China, Hong Kong SAR",HKG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,15703803,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,348,Hungary,HUN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,188843672,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,352,Iceland,ISL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,11740114,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,360,Indonesia,IDN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,4194890,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,364,Iran,IRN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,262035,,,0
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,372,Ireland,IRL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,98893869,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,376,Israel,ISR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,14166279,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,381,Italy,ITA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,531168272,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,384,Côte d'Ivoire,CIV,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,501760,,,0
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,388,Jamaica,JAM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,10140,,,0
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,392,Japan,JPN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,30251913,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,398,Kazakhstan,KAZ,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,10993658,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,400,Jordan,JOR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,26168,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,404,Kenya,KEN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,138874,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,410,Rep. of Korea,KOR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,23929506,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,414,Kuwait,KWT,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,5571254,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,417,Kyrgyzstan,KGZ,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,3159072,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,418,Lao People's Dem. Rep.,LAO,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1136,,,0
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,422,Lebanon,LBN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,336225,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,440,Lithuania,LTU,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,3238235843,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,442,Luxembourg,LUX,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,19137916,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,446,"China, Macao SAR",MAC,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,95,,,0
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,450,Madagascar,MDG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,366593,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,458,Malaysia,MYS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,12939574,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,466,Mali,MLI,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,320748,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,470,Malta,MLT,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1600914,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,478,Mauritania,MRT,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,404,,,0
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,480,Mauritius,MUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,147500,,,0
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,484,Mexico,MEX,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,24452567,,,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,490,"Other Asia, nes",,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,88136853,,,4
