Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,9844751515,,,4
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,8,Albania,ALB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,140143,,,0
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,20,Andorra,AND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,37647,,,0
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,24,Angola,AGO,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,111942,,,0
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,4219832,,,4
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,32,Argentina,ARG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1456406,,,0
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,12146039,,,0
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,40,Austria,AUT,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,528022,,,0
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,44,Bahamas,BHS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,7803370,,,0
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,50,Bangladesh,BGD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,742410,,,0
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,51,Armenia,ARM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,11610,,,0
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,52,Barbados,BRB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,10257047,,,0
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,56,Belgium,BEL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,61514740,,,4
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,60,Bermuda,BMU,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,297884,,,0
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,68,Bolivia (Plurinational State of),BOL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,4200733,,,4
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,70,Bosnia Herzegovina,BIH,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,9036,,,0
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,76,Brazil,BRA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,27691796,,,4
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,84,Belize,BLZ,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,352738,,,4
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,92,Br. Virgin Isds,VGB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,4067707,,,4
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,96,Brunei Darussalam,BRN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,753,,,0
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,100,Bulgaria,BGR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,696502,,,0
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,104,Myanmar,MMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,15975,,,0
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,112,Belarus,BLR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,115676,,,0
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,116,Cambodia,KHM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,999540,,,0
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,120,Cameroon,CMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,51613,,,0
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,124,Canada,CAN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,403356218,,,4
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,136,Cayman Isds,CYM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,4535364,,,4
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,144,Sri Lanka,LKA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,630942,,,0
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,152,Chile,CHL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,15025929,,,4
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,181815660,,,4
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,170,Colombia,COL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,46979758,,,4
H5,2020,2020,2020,0,0,2,Export,214,Dominican Rep.,DOM,188,Costa Rica,CRI,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,36591826,,,4
