Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1714131452,,,4
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,4,Afghanistan,AFG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,228,,,0
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,8,Albania,ALB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,114004,,,0
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,10,Antarctica,ATA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1749,,,0
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,12,Algeria,DZA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,104941,,,0
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,16,American Samoa,ASM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,145,,,0
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,20,Andorra,AND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,2651,,,0
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,24,Angola,AGO,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,5034,,,0
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,31,Azerbaijan,AZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,587,,,0
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,32,Argentina,ARG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,3559739,,,0
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,42242330,,,4
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,40,Austria,AUT,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,4699664,,,4
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,50,Bangladesh,BGD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1803795,,,0
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,51,Armenia,ARM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,553,,,0
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,52,Barbados,BRB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,33758,,,0
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,56,Belgium,BEL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,21618478,,,4
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,68,Bolivia (Plurinational State of),BOL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,30214,,,0
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,70,Bosnia Herzegovina,BIH,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,88656,,,0
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,76,Brazil,BRA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,3299182,,,4
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,84,Belize,BLZ,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,719,,,0
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,96,Brunei Darussalam,BRN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,19,,,0
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,100,Bulgaria,BGR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1213816,,,0
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,104,Myanmar,MMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,206706,,,0
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,112,Belarus,BLR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,6482,,,0
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,116,Cambodia,KHM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,648163,,,0
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,120,Cameroon,CMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,134327,,,0
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,124,Canada,CAN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,12589574,,,4
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,136,Cayman Isds,CYM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,3618,,,0
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,140,Central African Rep.,CAF,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,289,,,0
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,144,Sri Lanka,LKA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1088591,,,0
H5,2020,2020,2020,0,0,1,Import,258,French Polynesia,PYF,152,Chile,CHL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1178537,,,0
